words_wb, words,,,,
a,a,,,,
a lot,a_lot,,,,
about,about,,,,
above,above,,,,
after,after,,,,
airplane,airplane,,,,
all,all,,,,
alligator,alligator,,,,
am,am,,,,
and,and,,,,
animal,animal,,,,
ankle,ankle,,,,
another,another,,,,
ant,ant,,,,
any,any,,,,
apple,apple,,,,
applesauce,apple_sauce,,,,
are,are,,,,
arm,arm,,,,
around,around,,,,
asleep,asleep,,,,
at,at,,,,
aunt,aunt,,,,
awake,awake,,,,
away,away,,,,
baa baa,baa,,,,
baby,baby,,,,
babysitter,baby_sitter,,,,
back (location),back,,,,
bad,bad,,,,
ball,ball,,,,
balloon,balloon,,,,
banana,banana,,,,
basement,basement,,,,
basket,basket,,,,
bat,bat,,,,
bath,bath,,,,
bathroom,bathroom,,,,
bathtub,bathtub,,,,
be,be,,,,
beach,beach,,,,
beads,beads,,,,
beans,beans,,,,
bear,bear,,,,
because,because,,,,
bed,bed,,,,
bedroom,bedroom,,,,
bee,bee,,,,
before,before,,,,
behind,behind,,,,
belly button,belly_button,,,,
belt,belt,,,,
bench,bench,,,,
beside,beside,,,,
better,better,,,,
bib,bib,,,,
bicycle,bicycle,,,,
big,big,,,,
bird,bird,,,,
bite,bite,,,,
black,black,,,,
blanket,blanket,,,,
block,block,,,,
blow,blow,,,,
blue,blue,,,,
boat,boat,,,,
book,book,,,,
boots,boots,,,,
bottle,bottle,,,,
bowl,bowl,,,,
box,box,,,,
boy,boy,,,,
bread,bread,,,,
break,break,,,,
breakfast,breakfast,,,,
bring,bring,,,,
broken,broken,,,,
broom,broom,,,,
brother,brother,,,,
brown,brown,,,,
brush (object),brush,,,,
bubbles,bubbles,,,,
bucket,bucket,,,,
bug,bug,,,,
build,build,,,,
bump,bump,,,,
bunny,bunny,,,,
bus,bus,,,,
but,but,,,,
butt,butt,,,,
butter,butter,,,,
butterfly,butterfly,,,,
button,button,,,,
buy,buy,,,,
by,by,,,,
bye,bye,,,,
cake,cake,,,,
camera,camera,,,,
camping,camping,,,,
can (auxiliary),can,,,,
candy,candy,,,,
car,car,,,,
careful,careful,,,,
carrots,carrots,,,,
carry,carry,,,,
cat,cat,,,,
catch,catch,,,,
cereal,cereal,,,,
chair,chair,,,,
chalk,chalk,,,,
chase,chase,,,,
cheek,cheek,,,,
cheerios,cheerios,,,,
cheese,cheese,,,,
child,child,,,,
chin,chin,,,,
choo choo,choo,,,,
chocolate,chocolate,,,,
clean (action),clean,,,,
church,church,,,,
circus,circus,,,,
clap,clap,,,,
comb (object),comb,,,,
climb,climb,,,,
clock,clock,,,,
close,close,,,,
closet,closet,,,,
cloud,cloud,,,,
clown,clown,,,,
coat,coat,,,,
coffee,coffee,,,,
coke,coca_cola,,,,
cold,cold,,,,
dress (object),dress,,,,
cook,cook,,,,
cookie,cookie,,,,
corn,corn,,,,
couch,couch,,,,
could,could,,,,
country,country,,,,
cow,cow,,,,
cowboy,cowboy,,,,
cracker,cracker,,,,
crayon,crayon,,,,
crib,crib,,,,
cry,cry,,,,
cup,cup,,,,
cut,cut,,,,
cute,cute,,,,
daddy,daddy,,,,
dance,dance,,,,
dark,dark,,,,
day,day,,,,
deer,deer,,,,
diaper,diaper,,,,
did,did,,,,
dinner,dinner,,,,
dirty,dirty,,,,
dish,dish,,,,
do,do,,,,
doctor,doctor,,,,
does,does,,,,
dog,dog,,,,
doll,doll,,,,
don't,don't,,,,
donkey,donkey,,,,
donut,donut,,,,
door,door,,,,
down,down,,,,
downtown,downtown,,,,
draw,draw,,,,
drawer,drawer,,,,
drink (action),drink,,,,
dry (action),dry,,,,
drive,drive,,,,
drop,drop,,,,
french fries,french_fries,,,,
dryer,dryer,,,,
duck,duck,,,,
dump,dump,,,,
each,each,,,,
ear,ear,,,,
eat,eat,,,,
egg,egg,,,,
elephant,elephant,,,,
empty,empty,,,,
every,every,,,,
eye,eye,,,,
face,face,,,,
fall,fall,,,,
farm,farm,,,,
fast,fast,,,,
feed,feed,,,,
find,find,,,,
